"TimeGenerated","LogTable","Action","ActionReason","Protocol","SourceIp","SourcePort","DestinationIp","DestinationPort","Fqdn","TargetUrl","WebCategory","Policy","RuleCollectionGroup","RuleCollection","Rule","FirewallResourceId"
"18-08-2026 09:22:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","50202","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:21:28","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.176.68","57074","","443","cdn.fwupd.org","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:20:43","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.37","61791","","443","www.bing.com","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:20:43","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.37","54066","","443","www.bing.com","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:17:15","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","49976","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:17:15","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","49975","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:17:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","49974","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:17:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","49973","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:14:11","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.176.100","49318","","443","cdn.fwupd.org","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 09:12:29","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.37","56045","","443","clients2.google.com","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
